CPコード,入外区分,診療科,パス項目名称,作成日,更新日
CP000032,入外両用,職員,内視鏡的大腸ポリープ切除術,2005/10/12,
CP000036,入外両用,職員,前立腺生検,2005/10/28,
CP000047,入外両用,職員,経尿道的膀胱腫瘍切除術,2005/11/14,
CP000285,入外両用,職員,(検証用)内視鏡的大腸ポリープ切除術,2007/01/30,2018/10/23
CP000310,入外両用,移行,糖尿病教育入院（3週間コース）テスト,2008/01/23,2025/10/16
CP000329,入外両用,職員,検証用　乳癌の手術（ﾄﾞﾚｰﾝあり/なし）,2008/12/03,
CP000409,入外両用,職員,テスト　吉元,2010/03/01,
CP000462,入外両用,職員,糖尿病教育入院（2週間コース）backup,2011/12/06,
CP000471,入外両用,職員,原発性アルドステロン症精査入院,2012/03/13,
CP000475,入外両用,×）化学療法室,作成中　ジェムザール療法（外来）,2012/06/15,
CP000481,入外両用,移行,（心臓血管外科）下肢静脈瘤結紮術（外来）,2012/06/19,
CP000482,入外両用,職員,テスト用緊急帝王切開術（改定）,2012/07/09,
CP000483,入外両用,職員,temp緊急帝王切開術（改定）,2012/07/10,
CP000484,入外両用,職員,bk緊急帝王切開術（改定）,2012/07/10,
CP000485,入外両用,職員,検証用_緊急帝王切開術（改定）,2012/07/10,
CP000486,入外両用,職員,検証用２_緊急帝王切開術（改定）,2012/07/10,2018/10/23
CP000487,入外両用,職員,検証用_腹腔鏡下子宮全摘術（改定）,2012/07/10,
CP000493,入外両用,職員,テスト　岡村,2012/08/20,2025/08/08
CP000497,入外両用,職員,テスト　岡村２,2012/11/05,
CP000498,入外両用,職員,テスト　岡村３,2012/11/05,
CP000499,入外両用,職員,MED②_テスト,2012/11/05,
CP000672,入院用,放射線科,肝動脈塞栓術（金）入院,2016/07/07,2020/08/11
CP000716,入外両用,移行,128　☆発表用☆円錐切除術（コニゼーション）,2018/01/17,
CP000725,入外両用,放射線科,気管支動脈塞栓術,2018/06/15,2019/09/01
CP000736,入院用,放射線科,肝動脈塞栓術（木）入院,2020/03/16,2020/03/16
CP000737,入外両用,放射線科,CVﾘｻﾞｰﾊﾞｰ抜去,2020/03/16,2020/07/17
CP000747,外来用,薬剤部,mmm,2021/10/26,2021/10/26
CP000758,入外両用,内科,19-①原発性アルドステロン症精査入院（10日間）(使用しない）,2015/09/10,2022/02/03
CP000759,入外両用,内科,19-②原発性アルドステロン症精査入院（7日間）（使用しない）,2015/09/10,2022/03/10
CP000764,入外両用,内科,原発性アルドステロン症精査入院（2泊3日）（使用しない）,2017/12/21,2022/03/11
CP000765,入外両用,内科,改良型腹水濾過濃縮再静注法(2泊3日),2021/11/08,2022/03/11
CP000766,入外両用,内科,改良型腹水濾過濃縮再静注法(1泊2日),2022/01/11,2022/03/11
CP000767,入外両用,呼吸器内科,303気管支内視鏡検査（外来）,2014/03/05,2022/03/11
CP000768,入院用,呼吸器内科,8　睡眠時無呼吸症候群の疑い(PSG),2016/04/18,2022/01/18
CP000769,入院用,呼吸器内科,33　睡眠時無呼吸症候群(CPAP導入),2016/04/18,2022/01/18
CP000770,入外両用,呼吸器内科,新　睡眠時無呼吸症候群の疑い(PSG),2016/07/10,2022/03/15
CP000771,入外両用,呼吸器内科,在宅酸素導入【仮】,2017/01/08,2017/03/04
CP000772,入外両用,呼吸器内科,在宅酸素療法導入,2022/01/06,2022/03/27
CP000773,入外両用,消化器内科,9　胃ESD,2012/12/17,2024/09/27
CP000774,入外両用,消化器内科,５　肝生検,2009/02/08,2022/01/24
CP000779,入外両用,消化器内科,11 内視鏡的大腸ポリープ切除術,2012/07/25,2024/09/27
CP000780,入外両用,消化器内科,304　胃瘻交換（外来）,2013/12/16,2022/03/14
CP000781,入外両用,消化器内科,3　胃瘻造設術,2014/02/24,2022/03/11
CP000786,入外両用,消化器内科,6　RFA(ラジオ波焼却術）,2018/06/08,2022/03/11
